this line is not a valid log record at all
49.36.160.79 - - [04/Aug/2026:06:00:20 +0530] "GET /contact HTTP/1.1" 200 31076 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.214.13 - - [04/Aug/2026:06:00:45 +0530] "GET / HTTP/1.1" 200 42320 "https://news.ycombinator.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.82.135 - - [04/Aug/2026:06:01:19 +0530] "GET /about HTTP/1.1" 304 0 "https://www.google.com/" "python-requests/2.31.0"
49.36.77.209 - - [04/Aug/2026:06:02:11 +0530] "GET / HTTP/1.1" 200 13632 "https://news.ycombinator.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.108.114 - - [04/Aug/2026:06:04:08 +0530] "GET /blog/python-tips HTTP/1.1" 200 1232 "-" "python-requests/2.31.0"
49.36.84.19 - - [04/Aug/2026:06:04:47 +0530] "GET /static/img/hero.png HTTP/1.1" 200 22363 "-" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.160.79 - - [04/Aug/2026:06:05:26 +0530] "GET /about HTTP/1.1" 200 8169 "https://news.ycombinator.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.36.37 - - [04/Aug/2026:06:05:52 +0530] "GET /static/js/app.js HTTP/1.1" 200 39470 "https://www.google.com/" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
103.21.58.9 - - [04/Aug/2026:06:06:41 +0530] "GET /api/v1/legacy HTTP/1.1" 404 0 "-" "python-requests/2.31.0"
49.36.68.243 - - [04/Aug/2026:06:07:11 +0530] "GET /api/v1/items/7 HTTP/1.1" 200 32225 "-" "Googlebot/2.1 (+http://www.google.com/bot.html)"
103.21.58.9 - - [04/Aug/2026:06:07:44 +0530] "GET /api/v1/legacy HTTP/1.1" 404 0 "-" "python-requests/2.31.0"
49.36.10.205 - - [04/Aug/2026:06:08:19 +0530] "GET /index.html HTTP/1.1" 200 499 "-" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.155.71 - - [04/Aug/2026:06:09:14 +0530] "GET /static/img/hero.png HTTP/1.1" 200 23722 "https://news.ycombinator.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.217.65 - - [04/Aug/2026:06:09:56 +0530] "GET /static/img/hero.png HTTP/1.1" 200 16584 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.231.9 - - [04/Aug/2026:06:10:29 +0530] "GET /about HTTP/1.1" 200 1504 "https://www.google.com/" "python-requests/2.31.0"
49.36.26.141 - - [04/Aug/2026:06:11:02 +0530] "GET /products HTTP/1.1" 200 37754 "https://www.google.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.228.234 - - [04/Aug/2026:06:11:31 +0530] "GET /static/img/hero.png HTTP/1.1" 200 13312 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
185.220.101.44 - - [04/Aug/2026:06:12:24 +0530] "GET /admin/panel31 HTTP/1.1" 404 0 "-" "curl/8.4.0"
49.36.118.127 - - [04/Aug/2026:06:13:06 +0530] "GET /index.html HTTP/1.1" 200 44446 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.68.243 - - [04/Aug/2026:06:13:36 +0530] "GET /static/css/main.css HTTP/1.1" 200 8361 "https://news.ycombinator.com/" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.120.219 - - [04/Aug/2026:06:14:16 +0530] "GET /blog/python-tips HTTP/1.1" 200 1566 "-" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.127.38 - - [04/Aug/2026:06:15:01 +0530] "POST /api/v1/items HTTP/1.1" 201 272 "-" "python-requests/2.31.0"
49.36.7.168 - - [04/Aug/2026:06:15:31 +0530] "GET /blog/python-tips HTTP/1.1" 200 3532 "https://news.ycombinator.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.76.30 - - [04/Aug/2026:06:16:17 +0530] "GET /contact HTTP/1.1" 200 24596 "https://www.google.com/" "python-requests/2.31.0"
49.36.184.82 - - [04/Aug/2026:06:16:58 +0530] "GET /products/42 HTTP/1.1" 200 13469 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.68.243 - - [04/Aug/2026:06:17:18 +0530] "GET /api/v1/items HTTP/1.1" 200 26788 "https://www.google.com/" "python-requests/2.31.0"
49.36.170.91 - - [04/Aug/2026:06:18:09 +0530] "GET /index.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.224.149 - - [04/Aug/2026:06:18:49 +0530] "GET /favicon.ico HTTP/1.1" 200 39551 "-" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.118.127 - - [04/Aug/2026:06:19:14 +0530] "GET /static/css/main.css HTTP/1.1" 200 33226 "https://www.google.com/" "python-requests/2.31.0"
49.36.184.82 - - [04/Aug/2026:06:19:53 +0530] "POST /api/v1/items HTTP/1.1" 201 663 "-" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.85.44 - - [04/Aug/2026:06:20:43 +0530] "GET /products/42 HTTP/1.1" 304 0 "https://www.google.com/" "python-requests/2.31.0"
49.36.161.109 - - [04/Aug/2026:06:21:22 +0530] "GET /products HTTP/1.1" 200 28544 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.137.191 - - [04/Aug/2026:06:21:54 +0530] "GET /static/img/hero.png HTTP/1.1" 200 31143 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.48.116 - - [04/Aug/2026:06:22:30 +0530] "GET /products/42 HTTP/1.1" 200 40379 "-" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.214.13 - - [04/Aug/2026:06:23:17 +0530] "GET /contact HTTP/1.1" 200 36950 "https://news.ycombinator.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.151.151 - - [04/Aug/2026:06:23:59 +0530] "GET /api/v1/items/7 HTTP/1.1" 200 13742 "-" "python-requests/2.31.0"
49.36.137.191 - - [04/Aug/2026:06:24:21 +0530] "POST /api/v1/items HTTP/1.1" 201 782 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
185.220.101.44 - - [04/Aug/2026:06:25:16 +0530] "GET /admin/panel52 HTTP/1.1" 404 0 "-" "curl/8.4.0"
49.36.128.156 - - [04/Aug/2026:06:26:29 +0530] "GET / HTTP/1.1" 200 47550 "https://news.ycombinator.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.110.194 - - [04/Aug/2026:06:26:56 +0530] "GET /about HTTP/1.1" 200 35183 "https://www.google.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.217.65 - - [04/Aug/2026:06:27:32 +0530] "GET /blog/python-tips HTTP/1.1" 200 30028 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.153.230 - - [04/Aug/2026:06:28:19 +0530] "GET /favicon.ico HTTP/1.1" 200 34865 "https://www.google.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
49.36.153.230 - - [04/Aug/2026:06:29:01 +0530] "GET /contact HTTP/1.1" 200 47667 "https://www.google.com/" "python-requests/2.31.0"
103.21.58.9 - - [04/Aug/2026:06:29:41 +0530] "GET /api/v1/legacy HTTP/1.1" 404 0 "-" "python-requests/2.31.0"
49.36.151.122 - - [04/Aug/2026:06:30:12 +0530] "GET /index.html HTTP/1.1" 200 20752 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.32.52 - - [04/Aug/2026:06:30:55 +0530] "GET /contact HTTP/1.1" 200 18362 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.184.82 - - [04/Aug/2026:06:31:38 +0530] "POST /api/v1/items HTTP/1.1" 200 468 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.155.159 - - [04/Aug/2026:06:32:05 +0530] "GET /contact HTTP/1.1" 200 38792 "https://news.ycombinator.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.151.122 - - [04/Aug/2026:06:32:48 +0530] "GET /products/42 HTTP/1.1" 200 26760 "https://news.ycombinator.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.140.165 - - [04/Aug/2026:06:33:22 +0530] "GET /static/css/main.css HTTP/1.1" 200 24391 "https://news.ycombinator.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.214.13 - - [04/Aug/2026:06:34:07 +0530] "GET /static/js/app.js HTTP/1.1" 304 0 "https://www.google.com/" "python-requests/2.31.0"
49.36.157.15 - - [04/Aug/2026:06:34:53 +0530] "GET /api/v1/items/7 HTTP/1.1" 200 10105 "https://news.ycombinator.com/" "python-requests/2.31.0"
49.36.236.152 - - [04/Aug/2026:06:35:30 +0530] "GET / HTTP/1.1" 200 36614 "https://news.ycombinator.com/" "Mozilla/5.0 (Linux; Android 13) Chrome/125.0 Mobile Safari/537.36"
49.36.149.248 - - [04/Aug/2026:06:36:07 +0530] "GET /static/img/hero.png HTTP/1.1" 200 10062 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
49.36.52.114 - - [04/Aug/2026:06:36:33 +0530] "GET /static/css/main.css HTTP/1.1" 200 29829 "https://news.ycombinator.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
185.220.101.44 - - [04/Aug/2026:06:37:15 +0530] "GET /phpmyadmin/index.php HTTP/1.1" 404 0 "-" "curl/8.4.0"
49.36.10.205 - - [04/Aug/2026:06:37:53 +0530] "GET /products/42 HTTP/1.1" 200 41315 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15"
49.36.142.196 - - [04/Aug/2026:06:38:39 +0530] "GET /products HTTP/1.1" 200 25284 "https://news.ycombinator.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0 Safari/537.36"
103.21.58.9 - - [04/Aug/2026:06:39:10 +0530] "GET /api/v1/legacy HTTP/1.1" 404 0 "-" "python-requests/2.31.0"
49.36.142.196 - - [04/Aug/2026:06:39:58 +0530] "GET /favicon.ico HTTP/1.1" 200 42156 "https://news.ycombinator.com/" "Googlebot/2.1 (+http://www.google.com/bot.html)"
